Metodo,Modelo,Parametros,fit_kwargs,Tiempo,Accuracy Todas,Accuracy Aceptadas,F1 score Todas,F1 score Aceptadas
Boruta,RandomForestClassifier(n_estimators=10),{},{},27.513314723968506,0.9484126984126984,0.9484126984126984,0.9302325581395349,0.9302325581395349
Boruta,RandomForestClassifier(n_estimators=50),{},{},27.543739795684814,0.9484126984126984,0.9358465608465609,0.9302325581395349,0.9147286821705426
Boruta,RandomForestClassifier(),{},{},27.11538815498352,0.9484126984126984,0.9484126984126984,0.9302325581395349,0.9302325581395349
Boruta,RandomForestRegressor(n_estimators=10),{},{},66.93913698196411,0.9484126984126984,0.9623015873015872,0.9302325581395349,0.9523809523809523
Boruta,RandomForestRegressor(n_estimators=50),{},{},63.097421169281006,0.9484126984126984,0.9623015873015872,0.9302325581395349,0.9523809523809523
Boruta,RandomForestRegressor(),{},{},70.1592710018158,0.9484126984126984,0.9623015873015872,0.9302325581395349,0.9523809523809523
Boruta,<catboost.core.CatBoostClassifier object at 0x0000020D54C15F10>,{},{},,,,,
Boruta,<catboost.core.CatBoostClassifier object at 0x0000020D54C15F70>,{},{},,,,,
Boruta,<catboost.core.CatBoostClassifier object at 0x0000020D54C15FD0>,{},{},,,,,
Boruta,<catboost.core.CatBoostClassifier object at 0x0000020D54C20070>,{},{},,,,,
Boruta,<catboost.core.CatBoostClassifier object at 0x0000020D54C200D0>,{},{},,,,,
Boruta,<catboost.core.CatBoostClassifier object at 0x0000020D54C20130>,{},{},,,,,
Boruta,<catboost.core.CatBoostRegressor object at 0x0000020D54C20190>,{},{},,,,,
Boruta,<catboost.core.CatBoostRegressor object at 0x0000020D54C201F0>,{},{},,,,,
Boruta,<catboost.core.CatBoostRegressor object at 0x0000020D54C20250>,{},{},,,,,
Boruta,<catboost.core.CatBoostRegressor object at 0x0000020D54C202B0>,{},{},,,,,
Boruta,<catboost.core.CatBoostRegressor object at 0x0000020D54C20310>,{},{},,,,,
Boruta,<catboost.core.CatBoostRegressor object at 0x0000020D54C20370>,{},{},,,,,
Boruta,DecisionTreeClassifier(),{},{},,,,,
Boruta,"DecisionTreeClassifier(max_depth=1, max_leaf_nodes=3)",{},{},,,,,
Boruta,"DecisionTreeClassifier(max_depth=10, max_leaf_nodes=5)",{},{},,,,,
Boruta,DecisionTreeRegressor(),{},{},,,,,
Boruta,"DecisionTreeRegressor(max_depth=1, max_leaf_nodes=3)",{},{},,,,,
Boruta,"DecisionTreeRegressor(max_depth=10, max_leaf_nodes=5)",{},{},,,,,
Boruta,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=1290439997, ...)",{},{},3.8497138023376465,0.9484126984126984,0.9484126984126984,0.9302325581395349,0.9302325581395349
Boruta,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=100, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=1634160750, ...)",{},{},5.6040074825286865,0.9484126984126984,0.9484126984126984,0.9302325581395349,0.9302325581395349
Boruta,LogisticRegression(),{},{},,,,,
Boruta,LogisticRegression(max_iter=1000),{},{},,,,,
Shapicant,RandomForestClassifier(n_estimators=10),{},{},25.298961639404297,0.9484126984126984,0.951058201058201,0.9302325581395349,0.943089430894309
Shapicant,RandomForestClassifier(n_estimators=50),{},{},121.34482407569885,0.9484126984126984,0.9431216931216931,0.9302325581395349,0.9344262295081968
Shapicant,RandomForestClassifier(),{},{},243.74591302871704,0.9484126984126984,0.966931216931217,0.9302325581395349,0.96
Shapicant,RandomForestRegressor(n_estimators=10),{},{},26.31641459465027,0.9484126984126984,0.951058201058201,0.9302325581395349,0.943089430894309
Shapicant,RandomForestRegressor(n_estimators=50),{},{},132.34680438041687,0.9484126984126984,0.951058201058201,0.9302325581395349,0.943089430894309
Shapicant,RandomForestRegressor(),{},{},260.08138966560364,0.9484126984126984,0.9623015873015872,0.9302325581395349,0.9523809523809523
Shapicant,<catboost.core.CatBoostClassifier object at 0x0000020D54C15F10>,{},{},,,,,
Shapicant,<catboost.core.CatBoostClassifier object at 0x0000020D54C15F70>,{},{},,,,,
Shapicant,<catboost.core.CatBoostClassifier object at 0x0000020D54C15FD0>,{},{},,,,,
Shapicant,<catboost.core.CatBoostClassifier object at 0x0000020D54C20070>,{},{},,,,,
Shapicant,<catboost.core.CatBoostClassifier object at 0x0000020D54C200D0>,{},{},,,,,
Shapicant,<catboost.core.CatBoostClassifier object at 0x0000020D54C20130>,{},{},,,,,
Shapicant,<catboost.core.CatBoostRegressor object at 0x0000020D54C20190>,{},{},,,,,
Shapicant,<catboost.core.CatBoostRegressor object at 0x0000020D54C201F0>,{},{},,,,,
Shapicant,<catboost.core.CatBoostRegressor object at 0x0000020D54C20250>,{},{},,,,,
Shapicant,<catboost.core.CatBoostRegressor object at 0x0000020D54C202B0>,{},{},,,,,
Shapicant,<catboost.core.CatBoostRegressor object at 0x0000020D54C20310>,{},{},,,,,
Shapicant,<catboost.core.CatBoostRegressor object at 0x0000020D54C20370>,{},{},,,,,
Shapicant,DecisionTreeClassifier(),{},{},4.522829294204712,0.9484126984126984,0.9623015873015872,0.9302325581395349,0.9523809523809523
Shapicant,"DecisionTreeClassifier(max_depth=1, max_leaf_nodes=3)",{},{},0.8501927852630615,0.9484126984126984,0.8571428571428571,0.9302325581395349,0.8188976377952756
Shapicant,"DecisionTreeClassifier(max_depth=10, max_leaf_nodes=5)",{},{},1.2043123245239258,0.9484126984126984,0.9623015873015872,0.9302325581395349,0.9523809523809523
Shapicant,DecisionTreeRegressor(),{},{},3.8938400745391846,0.9484126984126984,0.8571428571428571,0.9302325581395349,0.8188976377952756
Shapicant,"DecisionTreeRegressor(max_depth=1, max_leaf_nodes=3)",{},{},0.5382442474365234,0.9484126984126984,0.8571428571428571,0.9302325581395349,0.8188976377952756
Shapicant,"DecisionTreeRegressor(max_depth=10, max_leaf_nodes=5)",{},{},0.8745272159576416,0.9484126984126984,0.9623015873015872,0.9302325581395349,0.9523809523809523
Shapicant,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=941622181, ...)",{},{},20.382216215133667,0.9484126984126984,0.9484126984126984,0.9302325581395349,0.9302325581395349
Shapicant,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=100, n_jobs=None, num_parallel_tree=None,
             predictor=None, random_state=755207282, ...)",{},{},31.674293041229248,0.9484126984126984,0.9656084656084656,0.9302325581395349,0.953125
Shapicant,LogisticRegression(),{},{},,,,,
Shapicant,LogisticRegression(max_iter=1000),{},{},,,,,
BorutaShap,RandomForestClassifier(n_estimators=10),"{'n_trials': 50, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},1.2025675773620605,0.9484126984126984,0.9702380952380952,0.9302325581395349,0.9606299212598425
BorutaShap,RandomForestClassifier(n_estimators=10),"{'n_trials': 100, 'sample': False, 'train_or_test': 'test', 'normalize': True, 'verbose': True}",{},1.188500165939331,0.9484126984126984,0.9702380952380952,0.9302325581395349,0.9606299212598425
BorutaShap,RandomForestClassifier(n_estimators=10),"{'n_trials': 50, 'sample': False, 'train_or_test': 'train', 'normalize': True, 'verbose': True}",{},1.229698657989502,0.9484126984126984,0.9702380952380952,0.9302325581395349,0.9606299212598425
