Tecnica,Modelo,Parametros,Tiempo,Accuracy Todas,Accuracy Aceptadas,F1 score Todas,F1 score Aceptadas,len(rejected),rejected
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,{},0.014960527420043945,0.5943047546599108,0.5951758347992837,0.4481481481481482,0.44910549043800124,2,"['PhoneService', 'SeniorCitizen']"
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFpr'>,{},0.014802217483520508,0.5943047546599108,0.5951758347992837,0.4481481481481482,0.44910549043800124,2,"['PhoneService', 'SeniorCitizen']"
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectFwe'>,{},0.015928030014038086,0.5943047546599108,0.5948509485094851,0.4481481481481482,0.44882860665844637,3,"['MultipleLines', 'PhoneService', 'SeniorCitizen']"
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectKBest'>,{},0.015306711196899414,0.5943047546599108,0.5969179950780292,0.4481481481481482,0.4510166358595194,9,"['MultipleLines', 'PaperlessBilling', 'SeniorCitizen', 'StreamingMovies', 'PaymentMethod', 'gender', 'InternetService', 'PhoneService', 'StreamingTV']"
Chi2,<class 'sklearn.feature_selection._univariate_selection.SelectPercentile'>,{},0.01393580436706543,0.5943047546599108,0.7436777354406794,0.4481481481481482,0.6097222222222222,17,"['TechSupport', 'gender', 'Contract', 'StreamingTV', 'OnlineSecurity', 'MultipleLines', 'Dependents', 'Partner', 'PaperlessBilling', 'OnlineBackup', 'SeniorCitizen', 'StreamingMovies', 'PaymentMethod', 'TotalCharges', 'InternetService', 'PhoneService', 'DeviceProtection']"
Chi2,<class 'sklearn.feature_selection._univariate_selection.GenericUnivariateSelect'>,{},0.01443028450012207,0.5943047546599108,0.6386262630379019,0.4481481481481482,0.49552238805970156,18,"['TechSupport', 'gender', 'Contract', 'StreamingTV', 'OnlineSecurity', 'MultipleLines', 'Dependents', 'Partner', 'PaperlessBilling', 'OnlineBackup', 'SeniorCitizen', 'StreamingMovies', 'PaymentMethod', 'TotalCharges', 'tenure', 'InternetService', 'PhoneService', 'DeviceProtection']"
F1C,<class 'sklearn.feature_selection._univariate_selection.SelectFdr'>,{},0.014602899551391602,0.5943047546599108,0.7529347306839819,0.4481481481481482,0.6198347107438017,3,"['PhoneService', 'SeniorCitizen', 'TotalCharges']"
F1C,<class 'sklearn.feature_selection._univariate_selection.SelectFpr'>,{},0.013415098190307617,0.5943047546599108,0.7529347306839819,0.4481481481481482,0.6198347107438017,3,"['PhoneService', 'SeniorCitizen', 'TotalCharges']"
F1C,<class 'sklearn.feature_selection._univariate_selection.SelectFwe'>,{},0.012983083724975586,0.5943047546599108,0.7526098443941833,0.4481481481481482,0.6194081211286991,4,"['MultipleLines', 'PhoneService', 'SeniorCitizen', 'TotalCharges']"
F1C,<class 'sklearn.feature_selection._univariate_selection.SelectKBest'>,{},0.014266252517700195,0.5943047546599108,0.7504250689958862,0.4481481481481482,0.6173010380622836,9,"['MultipleLines', 'PaperlessBilling', 'SeniorCitizen', 'StreamingMovies', 'PaymentMethod', 'TotalCharges', 'InternetService', 'PhoneService', 'StreamingTV']"
