Tecnica,Metodo,Modelo,Parametros,Tiempo,Accuracy Todas,Accuracy Aceptadas,F1 score Todas,F1 score Aceptadas,Nº de rechazadas,Rechazadas
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.9, learning_rate=0.1, max_depth=9, n_estimators=500)",{},0.01840376853942871,0.9748677248677249,0.9715608465608465,0.9682539682539683,0.9677419354838709,1,['fractal_dimension_mean']
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.5, learning_rate=0.001, max_depth=5, n_estimators=900)",{},0.01894974708557129,0.960978835978836,0.9656084656084656,0.9457364341085271,0.953125,1,['fractal_dimension_mean']
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.5, learning_rate=0.1, max_depth=8, n_estimators=350)",{},0.018950700759887695,0.9636243386243386,0.9748677248677249,0.9593495934959351,0.9682539682539683,1,['fractal_dimension_mean']
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.9, learning_rate=0.1, max_depth=9, n_estimators=450)",{},0.017952442169189453,0.9748677248677249,0.9715608465608465,0.9682539682539683,0.9677419354838709,1,['fractal_dimension_mean']
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.5, learning_rate=0.1, max_depth=6, n_estimators=100)",{},0.017951488494873047,0.9589947089947091,0.9636243386243386,0.9516129032258064,0.9593495934959351,1,['fractal_dimension_mean']
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.7, learning_rate=0.001, max_depth=9, n_estimators=600)",{},0.017952680587768555,0.9563492063492063,0.960978835978836,0.9384615384615386,0.9457364341085271,1,['fractal_dimension_mean']
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.9, learning_rate=0.01, max_depth=3, n_estimators=900)",{},0.01795196533203125,0.966931216931217,0.966931216931217,0.96,0.96,1,['fractal_dimension_mean']
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.9, learning_rate=0.01, max_depth=5, n_estimators=50)",{},0.017951011657714844,0.960978835978836,0.960978835978836,0.9457364341085271,0.9457364341085271,1,['fractal_dimension_mean']
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.7, learning_rate=0.1, max_depth=3, n_estimators=600)",{},0.01994800567626953,0.9874338624338623,0.9874338624338623,0.9841269841269841,0.9841269841269841,1,['fractal_dimension_mean']
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.9, learning_rate=0.001, max_depth=3, n_estimators=800)",{},0.019947528839111328,0.9563492063492063,0.9563492063492063,0.9384615384615386,0.9384615384615386,1,['fractal_dimension_mean']
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.7, learning_rate=0.01, max_depth=5, n_estimators=150)",{},0.017951488494873047,0.9656084656084656,0.960978835978836,0.953125,0.9457364341085271,1,['fractal_dimension_mean']
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.5, learning_rate=0.1, max_depth=5, n_estimators=350)",{},0.01795220375061035,0.9636243386243386,0.9748677248677249,0.9593495934959351,0.9682539682539683,1,['fractal_dimension_mean']
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.5, learning_rate=0.1, max_depth=5, n_estimators=600)",{},0.08080005645751953,0.9682539682539683,0.9748677248677249,0.9672131147540983,0.9682539682539683,1,['fractal_dimension_mean']
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.9, learning_rate=0.1, max_depth=5, n_estimators=450)",{},0.018457889556884766,0.966931216931217,0.966931216931217,0.96,0.96,1,['fractal_dimension_mean']
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.5, learning_rate=0.01, max_depth=8, n_estimators=650)",{},0.019946813583374023,0.9623015873015872,0.9543650793650793,0.9523809523809523,0.944,1,['fractal_dimension_mean']
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.5, learning_rate=0.01, max_depth=4, n_estimators=950)",{},0.019947528839111328,0.966931216931217,0.9589947089947091,0.96,0.9516129032258064,1,['fractal_dimension_mean']
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.7, learning_rate=0.001, max_depth=6, n_estimators=550)",{},0.021450042724609375,0.960978835978836,0.960978835978836,0.9457364341085271,0.9457364341085271,1,['fractal_dimension_mean']
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.7, learning_rate=0.001, max_depth=8, n_estimators=100)",{},0.019946813583374023,0.9656084656084656,0.9656084656084656,0.953125,0.953125,1,['fractal_dimension_mean']
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.7, learning_rate=0.001, max_depth=6, n_estimators=100)",{},0.018949270248413086,0.9656084656084656,0.9656084656084656,0.953125,0.953125,1,['fractal_dimension_mean']
Chi2,'SelectFdr',"XGBClassifier(colsample_bytree=0.7, learning_rate=0.1, max_depth=4, n_estimators=250)",{},0.017951488494873047,0.9715608465608465,0.9715608465608465,0.9677419354838709,0.9677419354838709,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.9, learning_rate=0.1, max_depth=9, n_estimators=500)",{},0.01894998550415039,0.9748677248677249,0.9715608465608465,0.9682539682539683,0.9677419354838709,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.5, learning_rate=0.001, max_depth=5, n_estimators=900)",{},0.01785564422607422,0.960978835978836,0.9656084656084656,0.9457364341085271,0.953125,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.5, learning_rate=0.1, max_depth=8, n_estimators=350)",{},0.03191518783569336,0.9636243386243386,0.9748677248677249,0.9593495934959351,0.9682539682539683,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.9, learning_rate=0.1, max_depth=9, n_estimators=450)",{},0.016954660415649414,0.9748677248677249,0.9715608465608465,0.9682539682539683,0.9677419354838709,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.5, learning_rate=0.1, max_depth=6, n_estimators=100)",{},0.02094411849975586,0.9589947089947091,0.9636243386243386,0.9516129032258064,0.9593495934959351,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.7, learning_rate=0.001, max_depth=9, n_estimators=600)",{},0.016990184783935547,0.9563492063492063,0.960978835978836,0.9384615384615386,0.9457364341085271,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.9, learning_rate=0.01, max_depth=3, n_estimators=900)",{},0.018949270248413086,0.966931216931217,0.966931216931217,0.96,0.96,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.9, learning_rate=0.01, max_depth=5, n_estimators=50)",{},0.019946813583374023,0.960978835978836,0.960978835978836,0.9457364341085271,0.9457364341085271,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.7, learning_rate=0.1, max_depth=3, n_estimators=600)",{},0.016954660415649414,0.9874338624338623,0.9874338624338623,0.9841269841269841,0.9841269841269841,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.9, learning_rate=0.001, max_depth=3, n_estimators=800)",{},0.021942615509033203,0.9563492063492063,0.9563492063492063,0.9384615384615386,0.9384615384615386,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.7, learning_rate=0.01, max_depth=5, n_estimators=150)",{},0.018949508666992188,0.9656084656084656,0.960978835978836,0.953125,0.9457364341085271,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.5, learning_rate=0.1, max_depth=5, n_estimators=350)",{},0.018459081649780273,0.9636243386243386,0.9748677248677249,0.9593495934959351,0.9682539682539683,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.5, learning_rate=0.1, max_depth=5, n_estimators=600)",{},0.016954898834228516,0.9682539682539683,0.9748677248677249,0.9672131147540983,0.9682539682539683,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.9, learning_rate=0.1, max_depth=5, n_estimators=450)",{},0.019947052001953125,0.966931216931217,0.966931216931217,0.96,0.96,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.5, learning_rate=0.01, max_depth=8, n_estimators=650)",{},0.017952680587768555,0.9623015873015872,0.9543650793650793,0.9523809523809523,0.944,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.5, learning_rate=0.01, max_depth=4, n_estimators=950)",{},0.019947052001953125,0.966931216931217,0.9589947089947091,0.96,0.9516129032258064,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.7, learning_rate=0.001, max_depth=6, n_estimators=550)",{},0.018950700759887695,0.960978835978836,0.960978835978836,0.9457364341085271,0.9457364341085271,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.7, learning_rate=0.001, max_depth=8, n_estimators=100)",{},0.019947528839111328,0.9656084656084656,0.9656084656084656,0.953125,0.953125,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.7, learning_rate=0.001, max_depth=6, n_estimators=100)",{},0.017952919006347656,0.9656084656084656,0.9656084656084656,0.953125,0.953125,1,['fractal_dimension_mean']
Chi2,'SelectFpr',"XGBClassifier(colsample_bytree=0.7, learning_rate=0.1, max_depth=4, n_estimators=250)",{},0.018949508666992188,0.9715608465608465,0.9715608465608465,0.9677419354838709,0.9677419354838709,1,['fractal_dimension_mean']
Chi2,'SelectFwe',"XGBClassifier(colsample_bytree=0.9, learning_rate=0.1, max_depth=9, n_estimators=500)",{},0.017965078353881836,0.9748677248677249,0.9715608465608465,0.9682539682539683,0.9677419354838709,1,['fractal_dimension_mean']
Chi2,'SelectFwe',"XGBClassifier(colsample_bytree=0.5, learning_rate=0.001, max_depth=5, n_estimators=900)",{},0.018457889556884766,0.960978835978836,0.9656084656084656,0.9457364341085271,0.953125,1,['fractal_dimension_mean']
Chi2,'SelectFwe',"XGBClassifier(colsample_bytree=0.5, learning_rate=0.1, max_depth=8, n_estimators=350)",{},0.018949508666992188,0.9636243386243386,0.9748677248677249,0.9593495934959351,0.9682539682539683,1,['fractal_dimension_mean']
Chi2,'SelectFwe',"XGBClassifier(colsample_bytree=0.9, learning_rate=0.1, max_depth=9, n_estimators=450)",{},0.017953157424926758,0.9748677248677249,0.9715608465608465,0.9682539682539683,0.9677419354838709,1,['fractal_dimension_mean']
Chi2,'SelectFwe',"XGBClassifier(colsample_bytree=0.5, learning_rate=0.1, max_depth=6, n_estimators=100)",{},0.01897883415222168,0.9589947089947091,0.9636243386243386,0.9516129032258064,0.9593495934959351,1,['fractal_dimension_mean']
Chi2,'SelectFwe',"XGBClassifier(colsample_bytree=0.7, learning_rate=0.001, max_depth=9, n_estimators=600)",{},0.017992258071899414,0.9563492063492063,0.960978835978836,0.9384615384615386,0.9457364341085271,1,['fractal_dimension_mean']
Chi2,'SelectFwe',"XGBClassifier(colsample_bytree=0.9, learning_rate=0.01, max_depth=3, n_estimators=900)",{},0.019454002380371094,0.966931216931217,0.966931216931217,0.96,0.96,1,['fractal_dimension_mean']
Chi2,'SelectFwe',"XGBClassifier(colsample_bytree=0.9, learning_rate=0.01, max_depth=5, n_estimators=50)",{},0.019947290420532227,0.960978835978836,0.960978835978836,0.9457364341085271,0.9457364341085271,1,['fractal_dimension_mean']
Chi2,'SelectFwe',"XGBClassifier(colsample_bytree=0.7, learning_rate=0.1, max_depth=3, n_estimators=600)",{},0.018949270248413086,0.9874338624338623,0.9874338624338623,0.9841269841269841,0.9841269841269841,1,['fractal_dimension_mean']
Chi2,'SelectFwe',"XGBClassifier(colsample_bytree=0.9, learning_rate=0.001, max_depth=3, n_estimators=800)",{},0.024932861328125,0.9563492063492063,0.9563492063492063,0.9384615384615386,0.9384615384615386,1,['fractal_dimension_mean']
Chi2,'SelectFwe',"XGBClassifier(colsample_bytree=0.7, learning_rate=0.01, max_depth=5, n_estimators=150)",{},0.01746082305908203,0.9656084656084656,0.960978835978836,0.953125,0.9457364341085271,1,['fractal_dimension_mean']
Chi2,'SelectFwe',"XGBClassifier(colsample_bytree=0.5, learning_rate=0.1, max_depth=5, n_estimators=350)",{},0.018458843231201172,0.9636243386243386,0.9748677248677249,0.9593495934959351,0.9682539682539683,1,['fractal_dimension_mean']
