Tecnica,Modelo,Parametros,fit_kwargs,Tiempo,Accuracy Todas,Accuracy Aceptadas,F1 score Todas,F1 score Aceptadas,len(rejected),Rejected
Boruta,RandomForestClassifier(n_estimators=10),{},{},23.845511198043823,0.9748677248677249,0.9748677248677249,0.9682539682539683,0.9682539682539683,3,"['symmetry_mean', 'symmetry_se', 'texture_se']"
Boruta,RandomForestClassifier(n_estimators=50),{},{},23.819705963134766,0.9748677248677249,0.9702380952380952,0.9682539682539683,0.9606299212598425,3,"['symmetry_mean', 'symmetry_se', 'texture_se']"
Boruta,RandomForestClassifier(),{},{},23.959631204605103,0.9748677248677249,0.966931216931217,0.9682539682539683,0.96,3,"['symmetry_mean', 'symmetry_se', 'texture_se']"
Boruta,"XGBClassifier()",{},{},3.471348524093628,0.9497354497354498,0.9576719576719577,0.9365079365079365,0.9448818897637795,21,"['radius_se', 'area_mean', 'perimeter_mean', 'compactness_se', 'texture_se', 'smoothness_mean', 'area_se', 'smoothness_worst', 'fractal_dimension_se', 'symmetry_se', 'symmetry_mean', 'perimeter_se', 'smoothness_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'compactness_worst', 'fractal_dimension_mean', 'concavity_se', 'concavity_worst', 'concavity_mean']"
Shapicant,RandomForestClassifier(n_estimators=10),{},{},19.853548288345337,0.9702380952380952,0.9451058201058201,0.9606299212598425,0.9291338582677166,20,"['radius_se', 'area_mean', 'compactness_se', 'texture_se', 'smoothness_mean', 'texture_worst', 'smoothness_worst', 'fractal_dimension_se', 'symmetry_se', 'symmetry_mean', 'perimeter_se', 'smoothness_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'compactness_worst', 'fractal_dimension_mean', 'texture_mean', 'concavity_se', 'fractal_dimension_worst']"
Shapicant,RandomForestClassifier(n_estimators=50),{},{},92.94126081466675,0.966931216931217,0.9417989417989417,0.96,0.9279999999999999,21,"['radius_se', 'area_mean', 'compactness_se', 'texture_se', 'smoothness_mean', 'texture_worst', 'smoothness_worst', 'fractal_dimension_se', 'symmetry_se', 'symmetry_mean', 'perimeter_se', 'smoothness_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'compactness_worst', 'fractal_dimension_mean', 'texture_mean', 'concavity_se', 'fractal_dimension_worst', 'concavity_worst']"
Shapicant,RandomForestClassifier(),{},{},186.5545129776001,0.966931216931217,0.966931216931217,0.96,0.96,18,"['radius_se', 'compactness_se', 'texture_se', 'smoothness_mean', 'smoothness_worst', 'fractal_dimension_se', 'symmetry_se', 'symmetry_mean', 'perimeter_se', 'smoothness_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'compactness_worst', 'fractal_dimension_mean', 'texture_mean', 'concavity_se', 'fractal_dimension_worst']"
Shapicant,"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=150)",{},{},54.23593616485596,0.9715608465608465,0.966931216931217,0.9677419354838709,0.96,9,"['fractal_dimension_se', 'symmetry_se', 'symmetry_mean', 'smoothness_se', 'compactness_mean', 'texture_se', 'smoothness_mean', 'fractal_dimension_mean', 'fractal_dimension_worst']"
Shapicant,"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=250)",{},{},83.39401078224182,0.9794973544973544,0.9794973544973544,0.976,0.976,10,"['fractal_dimension_se', 'symmetry_se', 'symmetry_mean', 'smoothness_se', 'compactness_mean', 'texture_se', 'compactness_worst', 'fractal_dimension_mean', 'concavity_se', 'fractal_dimension_worst']"
Shapicant,"CatBoostClassifier(use_best_model=False, verbose=0, n_estimators=350)",{},{},116.17353796958923,0.9748677248677249,0.9794973544973544,0.9682539682539683,0.976,10,"['fractal_dimension_se', 'symmetry_se', 'symmetry_mean', 'smoothness_se', 'compactness_mean', 'texture_se', 'compactness_worst', 'fractal_dimension_mean', 'concavity_se', 'fractal_dimension_worst']"
Shapicant,DecisionTreeClassifier(),{},{},3.535303831100464,0.9424603174603174,0.9173280423280423,0.9172932330827068,0.887218045112782,27,"['radius_worst', 'radius_se', 'area_mean', 'perimeter_mean', 'compactness_se', 'texture_se', 'smoothness_mean', 'area_se', 'smoothness_worst', 'fractal_dimension_se', 'symmetry_se', 'concave points_worst', 'symmetry_mean', 'perimeter_se', 'smoothness_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'compactness_worst', 'perimeter_worst', 'fractal_dimension_mean', 'texture_mean', 'concavity_se', 'fractal_dimension_worst', 'radius_mean', 'concavity_worst', 'concavity_mean']"
Shapicant,"DecisionTreeClassifier(max_depth=1, max_leaf_nodes=3)",{},{},0.7767179012298584,0.8968253968253967,0.8968253968253967,0.8636363636363636,0.8636363636363636,29,"['radius_worst', 'radius_se', 'area_mean', 'perimeter_mean', 'compactness_se', 'texture_se', 'smoothness_mean', 'area_worst', 'area_se', 'texture_worst', 'smoothness_worst', 'fractal_dimension_se', 'symmetry_se', 'concave points_worst', 'symmetry_mean', 'perimeter_se', 'smoothness_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'compactness_worst', 'perimeter_worst', 'fractal_dimension_mean', 'texture_mean', 'concavity_se', 'fractal_dimension_worst', 'radius_mean', 'concavity_worst', 'concavity_mean']"
Shapicant,"DecisionTreeClassifier(max_depth=10, max_leaf_nodes=5)",{},{},1.091520071029663,0.9497354497354498,0.9576719576719577,0.9365079365079365,0.9448818897637795,26,"['radius_worst', 'radius_se', 'area_mean', 'perimeter_mean', 'compactness_se', 'texture_se', 'smoothness_mean', 'area_se', 'texture_worst', 'smoothness_worst', 'fractal_dimension_se', 'symmetry_se', 'concave points_worst', 'symmetry_mean', 'perimeter_se', 'smoothness_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'compactness_worst', 'fractal_dimension_mean', 'concavity_se', 'fractal_dimension_worst', 'radius_mean', 'concavity_worst', 'concavity_mean']"
Shapicant,"XGBClassifier()",{},{},16.79996657371521,0.9497354497354498,0.9589947089947091,0.9365079365079365,0.9516129032258064,20,"['radius_se', 'area_mean', 'perimeter_mean', 'texture_se', 'smoothness_mean', 'smoothness_worst', 'fractal_dimension_se', 'symmetry_se', 'symmetry_mean', 'perimeter_se', 'smoothness_se', 'compactness_mean', 'symmetry_worst', 'concave points_se', 'compactness_worst', 'fractal_dimension_mean', 'concavity_se', 'fractal_dimension_worst', 'radius_mean', 'concavity_mean']"
BorutaShap,RandomForestClassifier(n_estimators=10),{},{},0.8963825702667236,0.9636243386243386,0.9623015873015872,0.9593495934959351,0.9523809523809523,5,"['fractal_dimension_se', 'symmetry_se', 'symmetry_mean', 'texture_se', 'concave points_se']"
BorutaShap,RandomForestClassifier(n_estimators=50),{},{},3.047978401184082,0.966931216931217,0.9623015873015872,0.96,0.9523809523809523,3,"['fractal_dimension_se', 'symmetry_se', 'texture_se']"
